,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
23983,16.7,56.89,54.47,56.2,16.86,17.52,16.17,1.40686,13.04,0.06,1795.93
24187,28.18,52.15,50.24,56.26,14.27,14.64,15.14,1.14044,13.45,11.24,1605.99
24189,27.96,54.44,52.53,57.25,11.87,11.79,12.42,1.08684,14.31,20.93,1443.19
24190,27.62,54.86,52.3,57.32,12.47,12.29,13.02,1.20374,14.89,15.95,1571.4
26054,16.6,52.63,48.04,53.53,14.79,13.32,14.1,1.41707,13.87,4.94,1797.67
26055,17.05,52.58,47.85,53.06,13.52,12.44,13.17,1.43211,14.56,7.59,1796.59
26056,17.13,52.91,48.16,53.44,13.93,13.11,13.81,1.42819,14.03,5.51,1797
26057,17.34,53.15,49.7,54.1,14.39,14.22,14.64,1.42252,14.21,3.42,1797.22
26058,17.55,53.82,50.72,55.42,14.75,14.79,14.77,1.41755,14.28,2.94,1796.89
26059,17.58,53.71,50.39,54.7,13.43,12.85,13.22,1.43315,14.08,7.04,1797.3
26071,16.96,47.71,44.57,47.67,15.12,14.12,14.41,1.39062,13.48,1.43,1797
26074,17.3,50.8,47.41,51.76,14.72,14.08,14.43,1.36801,13.21,1,1797.11
26075,17.69,51.47,48.16,52.66,14.32,14.02,14.25,1.36058,13.35,2.38,1796.79
26076,17.7,51.9,48.73,53.17,14.32,14.23,14.29,1.39754,13.39,2.77,1797.52
27061,31.22,44.01,42.2,46.21,14.68,14.69,15.43,1.48926,14.69,8.72,1795.04
27508,27.35,47.97,46.35,48.79,14.94,15.38,14.91,1.52801,13.42,6.52,1796.14
27673,22.4,61.39,58.88,63.67,14.83,14.59,15.46,1.52902,13.49,7.59,1797.11
27674,22.24,60.59,57.51,62.85,13.98,13.73,14.8,1.52596,13.29,8.17,1795.98
31409,29.2,56.99,53.02,56.59,15.63,14.94,15.45,1.51939,13.81,7.33,1796.5
31411,28.35,58.79,53.94,57.68,15.71,14.6,15.04,1.52295,13.65,7.49,1795.76
